beasiswa,prodi,penerima
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Kimia,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Matemat,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Statistika,0
PBU Afirmasi Tridarma Kabupaten Kutai Timur 2025,Aktuaria,1
Paragon Scholarship Excellent (PSP) 2025,Fisika,0
Paragon Scholarship Excellent (PSP) 2025,Geofisika,0
Paragon Scholarship Excellent (PSP) 2025,Elins,1
Paragon Scholarship Excellent (PSP) 2025,IlKomp,0
Paragon Scholarship Excellent (PSP) 2025,Kimia,0
Paragon Scholarship Excellent (PSP) 2025,Matemat,1
Paragon Scholarship Excellent (PSP) 2025,Statistika,0
Paragon Scholarship Excellent (PSP) 2025,Aktuaria,1
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Fisika,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Geofisika,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Elins,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,IlKomp,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Kimia,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Matemat,1
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Statistika,0
PBU Afirmasi Tridarma Kabupaten Penajam Paser Utara 2025,Aktuaria,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Fisika,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Geofisika,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Elins,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,IlKomp,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Kimia,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Matemat,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Statistika,0
PBU Afirmasi Tridarma Diknas Kota Kupang 2025,Aktuaria,1
Gratyo OTA (On Things Above) 2025,Fisika,0
Gratyo OTA (On Things Above) 2025,Geofisika,0
Gratyo OTA (On Things Above) 2025,Elins,0
Gratyo OTA (On Things Above) 2025,IlKomp,0
Gratyo OTA (On Things Above) 2025,Kimia,0
Gratyo OTA (On Things Above) 2025,Matemat,0
Gratyo OTA (On Things Above) 2025,Statistika,2
Gratyo OTA (On Things Above) 2025,Aktuaria,0
Beasiswa PemerintahKabupaten Tabalong 2025,Fisika,0
Beasiswa PemerintahKabupaten Tabalong 2025,Geofisika,0
